username,postid,text
dixnickson,post_1061386105,record comment quot respons cadi justic crime punish system root drawn principl ideal book label standard draw liberti deni fact fashion worldli circl realiti allow absolut thing slide scale serious ask place time sodom fire holi bibl ask refer plagu year pass histor event record allow call chang save help question lead answer allow sight truth will set free
giftedone,post_1060886809,good sourc well fact folk bad sourc good sourc subject matter expert sme mean field biolog doctor biolog relat defin zygot second year biolog student sme place work person reput stake therefor claim consid seriou debat member scientif commun frivol basi reput highli polit posit sourc bias web site expert bias start path explain reason zygot classifi homo sapien reason reason valid offer opportun challeng ration make counter argument critic appeal author logic fallaci compar sourc bias anti abort websit author clearli bias full claim doctor appeal author author bill talk valid jess bias republican senat bias invit speak bush chang personhood definit hear joke valid sme allow speak citat folk testifi full ambigu languag scientist speak term human life human includ form human life heart cell sperm well reason argument hear invest time set websit valid well reason ration argument
otter,post_4347769,clear understand risk group site compli list publish scientif negat ration person evid themself blindli deni fit agenda sister drive women fulli inform risk expos artifici hormon birth control undergo violent termin pregnanc studi titl oral contracept earli abort risk factor breast cancer young women author gray ge sourc cancer jan citat abstract studi conduct lo angel counti california young case age diagnosi investig role oral contracept develop diseas pregnanc associ elev risk increas durat rel risk year lt increas risk explain risk factor associ chang risk abort spontan induc associ lt
goldwater,post_4034478,feel great champion mother kill trimest fetu women right feel good feel good peopl mother mother sovereignti life appli moral code situat abort legal extract fetu point pregnanc implant surrog anti abort folk paid tax collect care educ fetu ban abort anti abort clean entir mess control polici creat abort stay legal trimest
pasithea,post_1061584891,well good luck healthcar provid agre thing wrong intent bring babi babi born separ woman babi chanc medic problem sake prove peopl wrong debat pretti sick heavi period doctor will go bleed heavili day lot rest exert mom lot birth bleed associ pregnanc gener thick blood tissu layer insid tissu
spt5,post_4576738,oop forgot realiz question special human life connect abort countri call romania fulli friend brought adapt adapt famili dump welfar system violent behavior prison reconcil long famili crimin agress matter youth ministri correct logic human life special includ god view human life peopl start place life anim birth rate control environment factor human push god intellig intellig natur perform abort imagin will job releas afraid will illeg thing surviv will prison result polici interest better peopl prison attack abort want
cassandrabandra,post_4799202,context thread highli relev discuss possibl men vasectomi thread titl women pregnant femin initi discuss focu women rip men pregnant well man rip rampant feminist sperm donor cash cow concern sens reli women decis contracept guy blame women reproduct women pregnant leg shut men dick pant play cross mind reason man whine women pregnant women suggest vasectomi worth consid emot boy respons men long emot grown consid potenti sex partner
pasithea,post_4072258,sooo taboo speak mother expect ador love mother highli frown mother speak regret children find group onlin peopl discuss safeti anonym protect taboo feel controversi book woman kid regret experi reason question answer websit ask regret kid respons well love kid lot ta throw horribl person taboo lot peopl regret kid kid tough job hear thing chang life thing rais kid definit rude awaken prepar
giftedone,post_1060883484,read time bad comment video disingenu support claim subject matter expert doctor count claim life exist concept well cours argument claim expert testifi life concept patent fals life exist prior concept life life meant life human vast major heard exist biologist find claim zygot sapien post refer numer time comment argument zygot earli stage human develop fals human develop scienc aspect develop human includ step lead creation human confus human develop develop human fetu young stage human develop human develop stage human develop scienc human develop consid process lead creation human zygot human dictionari definit discuss consist common languag usag understand word exampl child person speak woman pregnant fact dictionari point child liter exist arbitrari fetu trait human trait clear zygot arbitrari true beat heart brain function bit fuzzi timelin zygot absolut arbitrari
wildjoker5,post_4650396,dont punish reason woman wo gestat babi choos creat state life troubl well right chose life babi rape choic creat babi liber rich liber equat babi mistak babi punish hear advoc abort outlaw prefer lib refrain dehuman babi womb main drive forc peopl think babi kill human feder govern convers leav state decid will handl abort law atleast till
giftedone,post_4089562,rofl philosoph scientist stick field work appli qualifi assess matter field biolog humor philosophi art great deal respect peopl order sound argument side debat agre full well embryolog domain subject matter pretend valid present support claim development biolog joke pretend expert subject present evid subject matter expert joke philosoph nice
pasithea,post_4642040,kill simplest basic point life eat meat kill plant life bug virus skin cell simpli scratch live know constantli daili basi human kill daili fact expect granni bibl abort frequent command peopl kill commit violent act murder rape infanticid bring bibl well mose kill peopl disobey silli law shalt kill sort lose mean chapter mose command parent stone disobedi children death
otter,post_4481380,develop better read comprehens skill repeatedli major women chose kill unborn babi deem life deem life best system woman pregnanc childbirth women famili mother grandmoth aunt sister best indic thing progress area woman uniqu pregnanc uniqu experi famili amp friend fun well pregnanc amp childbirth mere game bore bodi major chang read physiolog pregnant woman woman woman physiolog man power awesom wonder time experi consid expect surpass moment feel child move insid coupl month husband state babi night kick natur childbirth work women end busi text friend amp famili reach woman birth uniqu moment newborn child month feel talk dream will burn memori forev
thehat,post_1060789755,haha joke rais cathol church support birth control shock cathol servic hand convict standard zealot cathol institut support birth control forc cathol univers hospit hope come storm obama implement hate religion forc cathol institut hand cover birth control hope singl cathol institut shut door hand medic shortag civil societi peopl clue larg cathol medic commun peopl depend chariti work obama win top time congress reign power bureaucrat legisl branch creat law whatsoev
churchmouse,post_1061084536,junkieturtl total legal nevada regul whore hous legal illeg hire girl room caesar illeg scienc wrong base moral scienc scienc moral studi fact opinion choos base scienc posit rape medic traumat rape victim bodi posit rape state time rape wrong wrong wrong wrong wrong wrong wrong wrong wrong wrong wrong wrong wrong take choic victim frankli moral chang wind traumat rape victim bodi yea wrong lmao wrong choic condon kill human life choic hypocrit think wow serious handicap mental disabl moral forc peopl case abort forc peopl support peopl support lmao freedom comment pay deni woman freedom forc pay peopl oblig pay heart good peopl govern corrupt control money peopl scream higher tax rich elit redistribut person wealth middl class peopl stupid fall pay extra dollar pay pay add tax owe pat obama illeg elit pictur time year birth certif will expos fraudul document layer falsifi presid born unit state dupe sucker faith trust hussein stupid america
rpa1,post_1061430519,failur commun advoc irrespons behavior fact advoc men receiv commit marriag put peni vagina respons thing irrespons jerk blast load woman vagina walk man deserv life turn upsid fact remain woman will pregnant refus accept sperm vagina tradit court engag marriag man shoot sperm vagina man prove worthi perfect grant futur human be
churchmouse,post_1061476913,pasithea save save person holi spirit dwell judg heart action god differ peopl call christian sit church sunday discipl christ hold christian worldview sin keep spend etern christ denial believ decis base word god obama exampl claim christian live philosophi belief align word believ sex marriag total abort god disobedi father disciplin children believ harder resist put opinion belief god believ life stray satan live yield christian life hard pot shot mock god holi spirit god doubt mind peopl claim true believ sudden christ fit gospel accept christ know gospel believ god believ christ jewish templ lot religion respect peopl fals christ truth
cassandrabandra,post_4920938,earli cathol origin thought life foetu move womb embryo soul embryo soul chang mind increas scientif knowledg wonder moral rat rat engag moral behaviour understand bird intellig chicken count paper written experi pain fish observ anim awar sensit gener believ wonder cathol church evangel christian plan outlaw eat food product deriv anim
junkieturtle,post_1061119081,put idea rule peopl free choos argu child pornographi harm child decent person advoc favor argument forum best knowledg think extrem absolut go misrepres thing human aliv person bodi higher brain function think absolut indulg fantast ridicul view entir left complet agre rule agre sentenc obviou stipul mother choic insid womb convinc convinc previou thread hair hitler
injest,post_4091823,post proof assert thread scientif studi go peopl expert poll ahead scienc ahead prove leg stand wrong studi prove pregnanc woman bodi assert woman choic abstin birth control vagin sex steril sex steril men choic assert woman birth damag good anti woman hate women cancer diabet diseas normal function host pregnanc diseas compar pregnanc cancer will humanist draw
churchmouse,post_1061349537,abort abort death death reason mother die depress time mother child save decis pain forum will admit abort hire hit life human live child small death child peopl condon abort natur deliveri fair mother bodi choic viabil matter sad nurs feel edg topic well abort women roe billion child kill solv problem edg trump motiv concern woman abort today work field group life silent local crisi pregnanc center hard sens abort woman abort total focus problem lead child woman idea fetal develop decis harder put face action action death fight hard women ultrasound definit cut profit bring salari women abort action action kill child remind remind easi stay woman rest life decis revers women suffer silent women famili abort legal talk dinner tabl parti school function hey lunch monday abort parti tonight abort bleed real bad love day abort meet abort long schedul meet women talk common medic procedur abort fact statist board women abort will admit humili sad cruel sin fortun introduc great guy save life christ testimoni sad appal lack compass love nurs miracl life happen hospit fact understand parent want child chanc matter unbeliev nurs life peopl special death case kill innoc child left life live amaz help pain bull eye life womb shallow cold worldview abort selfish woman put child creat risk
herkdriver,post_1061826779,refus play game ration human life semant bibl god understand grow unborn child human play magic word game organ develop feel pain viabl womb human biolog human concept mother dna father dna creat separ entiti individu life sexual activ serious treat recreat dad abstain activ peopl treat sex casual consequ serious legal abort demand problem sex recreat abort form homicid care man earth believ rest jump cliff moral relativ deal absolut semant
dixnickson,post_1061205903,women lost control societ pressur messag implant plastic surgeri media influenc fashion behaviour modif women control bodili process male speci place sperm woman egg choic longer natur control consequ smoke choic lead ill expect mother control choic dictat unwant unexpect differ differ make choic choic unlaw life argument choic forget develop child choic option infant choic except tini life choos infant life advoc appear
